screen_name,tweet_id,date,tweet_text,tweet_ja,fav,ret,tweeted
ediramaal,1587800231554547713,2022-11-02 13:34:09,"Albania is not a rich coutry and was for a very long time a victim of empires, we never had our own.We have a duty… https://t.co/Xq177alO0N",アルバニアは決して豊かな国ではなく、長い間、帝国の犠牲者であり、自分たちの国を持つことはなかった。私たちには義務がある... https://t.co/Xq177alO0N,2151,300,1
XavierEspot,1588498575168008194,2022-11-04 11:49:07,Avui hem signat el conveni de col·laboració amb els comuns per assolir un major estalvi i eficiència energètiques.… https://t.co/87rGr9B4KG,本日、コモンズと連携協定を締結し、より一層の省エネ・効率化を実現するために... ... https://t.co/87rGr9B4KG,37,8,1
XavierEspot,1588222056239595520,2022-11-03 17:30:20,Avui hem continuat amb la ministra @JudithPallares les reunions amb les associacions socials. Ens hem reunit amb l'… https://t.co/IsjGBN0kou,Avui hem continuesat amb la ministra @JudithPallares les reunions amb les associacions socials.Ens hem reunit amb l'... https://t.co/IsjGBN0kou,17,1,1
XavierEspot,1588182315863224320,2022-11-03 14:52:25,"Avui s'han incorporat de forma definitiva al Cos de Policia onze nous agents. Durant el seu nomenament, hem tingut… https://t.co/3rVJTOZJeM","アヴイは、この2人のエージェントを正式にCos de Policiaに組み入れました。During el seu nomenament, hem tingut... https://t.co/3rVJTOZJeM",40,4,1
XavierEspot,1587847723818143746,2022-11-02 16:42:52,"Avui ens hem reunit amb els representants d'Andorra Lírica, del sector del cinema i la Taula Nacional de Fallaires… https://t.co/pNiKU9Elbh",本日、Andorra Lírica、映画部門、Taula Nacional de Fallairesの代表者と会談しました... https://t.co/pNiKU9Elbh,20,1,1
alferdez,1588662070102593536,2022-11-04 22:38:48,"RT @CasaRosada: EN VIVO | El presidente Alberto Fernández (@alferdez) participa, junto al ex presidente de Bolivia, Evo Morales (@evoespueb…",RT @CasaRosada: LIVE: アルベルト・フェルナンデス大統領（@alferdez）とボリビアのエボ・モラレス前大統領（@evoespueb...,0,109,1
alferdez,1588596004940525569,2022-11-04 18:16:16,"Seguiremos construyendo y entregando viviendas para cuidar y proteger a todas las argentinas y argentinos.

El acce… https://t.co/PYBYLCdVzd","私たちは、すべてのアルゼンチン国民をケアし、守るための住宅を建設し、提供し続けていきます。

アクセ... https://t.co/PYBYLCdVzd",111,28,1
alferdez,1588595995495268353,2022-11-04 18:16:14,"🏘️ Inauguramos un nuevo barrio que mejora la calidad de vida de vecinas y vecinos de Esteban Echeverría.

Entregamo… https://t.co/NvtFsb9H8B","私たちは、エステバン・エチェベリアに住む人々の生活の質を向上させる新しい居住区を発足させます。

私たちがお届けするのは... https://t.co/NvtFsb9H8B",370,122,1
alferdez,1588356340187279361,2022-11-04 02:23:56,"Va a ser un placer volver a reencontrarnos, querido amigo @lopezobrador_. En pocas semanas nos veremos en tu Patria… https://t.co/soHDSEn22t",親愛なる友人、@lopezobrador_ と再び会うことができるのは喜ばしいことでしょう。数週間後、祖国でお会いしましょう... https://t.co/soHDSEn22t,1126,280,1
alferdez,1588326881660907522,2022-11-04 00:26:52,"#NosMueveElOrgullo hacia la verdadera libertad, la que construye un país sin exclusiones y con justicia social.

No… https://t.co/Mcdv9EfRmt","真の自由、排除のない、社会正義のある国を築くものに向かって、#NosMueveElOrgullo。

いいえ... https://t.co/Mcdv9EfRmt",164,34,1
AlboMP,1588669301330153472,2022-11-04 23:07:32,Grateful for an early morning swim on the Sunshine Coast before my speech to Queensland Labor. Thanks to… https://t.co/Ig9Zv5RT05,Queensland Laborでのスピーチの前に、サンシャインコーストで早朝から泳げたことに感謝します。感謝... https://t.co/Ig9Zv5RT05,250,26,1
AlboMP,1588496596882587648,2022-11-04 11:41:16,"Working together, we can deliver more for Queensland.

Great to catch up with Premier @AnnastaciaMP at the Queensla… https://t.co/EYMkRYJ6vk","私たちが力を合わせれば、クイーンズランド州により多くのものを提供することができます。

クイーンズランド州首相 @AnnastaciaMP にお会いできたのは素晴らしいことです... https://t.co/EYMkRYJ6vk",510,64,1
AlboMP,1588441075424718849,2022-11-04 08:00:38,Warm congratulations to the Hon Ishmael Kalsakau on his election as Vanuatu Prime Minister. Australia and Vanuatu s… https://t.co/cRdvfnEE6t,イシュマエル・カルサカウ氏のバヌアツ首相就任を心よりお祝い申し上げます。オーストラリアとバヌアツの... https://t.co/cRdvfnEE6t,389,56,1
AlboMP,1588438750266535937,2022-11-04 07:51:24,We congratulate Benjamin @netanyahu on the Israeli election result. We look forward to further strengthening our re… https://t.co/rjf52CMm0a,イスラエルの選挙結果について、ベンジャミン @netanyahu に祝意を表する。我々は、我々の関係をさらに強化することを楽しみにしています... https://t.co/rjf52CMm0a,893,109,1
AlboMP,1588429246426324992,2022-11-04 07:13:38,Do I welcome this news? Absolutely. https://t.co/ucuuT94P0K,私はこのニュースを歓迎しますか？もちろんです。https://t.co/ucuuT94P0K,2634,341,1
karlnehammer,1588594106200051712,2022-11-04 18:08:44,My sincere congratulations to @netanyahu on his victory in the elections. I look forward to working together to fur… https://t.co/UFOXrsTUeq,netanyahuの選挙での勝利に心から祝意を表します。私は、この選挙を成功させるために共に働くことを楽しみにしています... https://t.co/UFOXrsTUeq,64,17,1
karlnehammer,1587750305877446659,2022-11-02 10:15:46,"Das Attentat galt all jenen, die unsere liberale Demokratie &amp; ihre Werte hochhalten und schätzen. Es war ein Versuc… https://t.co/5wjXSJLoeB",この攻撃は、私たちの自由民主主義とその価値を大切にするすべての人々に向けられたものでした。試みであった... https://t.co/5wjXSJLoeB,49,13,1
karlnehammer,1587750294393442304,2022-11-02 10:15:43,"Im Wissen, dass nichts &amp; niemand die Trauer der Angehörigen lindern und diese abscheuliche Tat ungeschehen machen k… https://t.co/250cHtUd6R",何もないことを知りながら、そして誰も、親族の悲しみを和らげ、この凶行を元に戻すことはできない... https://t.co/250cHtUd6R,50,12,1
karlnehammer,1587750285249740800,2022-11-02 10:15:41,Wir gedenken heute der Opfer des Terroranschlags vom 2. November 2020. Heute wie damals sind wir mit unseren Gedank… https://t.co/Uh0OTRnc15,今日、私たちは2020年11月2日のテロ事件の犠牲者を追悼します。 今日、あの時と同じように、私たちの思いとともに... https://t.co/Uh0OTRnc15,157,25,1
presidentaz,1587807337934462978,2022-11-02 14:02:24,https://t.co/OOKMlUK9tB,https://t.co/OOKMlUK9tB,2387,394,1
presidentaz,1587806365577318400,2022-11-02 13:58:32,https://t.co/t8VGKe6yTC,https://t.co/t8VGKe6yTC,705,160,1
presidentaz,1587806240616464391,2022-11-02 13:58:02,https://t.co/wXuxemIJUD,https://t.co/wXuxemIJUD,873,185,1
PhilDavis6,1587858526852026368,2022-11-02 17:25:48,RT @DarklandDist: A mysterious black sphere is discovered in the orbit of Mars &amp; the bedraggled six-person crew of The Achilles awake from…,RT @DarklandDist:火星の軌道上で謎の黒い球体が発見される。そして、アキレス号の6人のクルーが...,0,1,1
PhilDavis6,1587784110826725381,2022-11-02 12:30:06,https://t.co/jc6SQn3OjC,https://t.co/jc6SQn3OjC,12,3,1
AbdulHamidAhmad,1588614565339635712,2022-11-04 19:30:02,"RT @gulf_news: Highlight of Ahmed Al-Tayeb's speech at the Bahrain Forum

'Let us together chase away any talk of hate, provocation and exc…","RT @gulf_news: バーレーン・フォーラムでのアハメド・アルタイェブ氏の講演のハイライトをご紹介します。

憎悪、挑発、排他的な話を一緒に追い払おう。",0,1,1
AbdulHamidAhmad,1588600547367686144,2022-11-04 18:34:19,"Twitter sacks half of workforce, internal document reveals https://t.co/73Ni1F7kpd",Twitterが従業員の半数を解雇、内部文書で明らかに https://t.co/73Ni1F7kpd,3,1,1
AbdulHamidAhmad,1588593960175693824,2022-11-04 18:08:09,RT @DQGonline: كرم سمو الشيخ أحمد بن سعيد آل مكتوم رئيس هيئة دبي للطيران المدني، رئيس مؤسسة دبي للمطارات، الرئيس الأعلى الرئيس التنفيذي لطي…,RT @DQGonline: كرم سمو الشيخ أحمد بن سعيد آل مكتوم رئيس هيئة دي للطيران المدني، رئيس مؤسة دبي لمطارات، الرئيس الأعلى الرئيس التنفيذيلطي ...,0,2,1
AbdulHamidAhmad,1588593937681625088,2022-11-04 18:08:04,"RT @DQGonline: @HHAhmedBinSaeed, Chairman of @DcaaDubai, Chairman &amp; CEO of @emirates &amp; Group, honours @AbdulHamidAhmad, CEO and Editor-in-C…",RT @DQGonline:DcaaDubai会長、Emirates & Group会長兼CEOのHHAhmedBinSaeedが、Emirates & Group CEO兼編集長のAbdulHamidAhmadに敬意を表して、DcaaDubaiを訪問しました。,0,3,1
AbdulHamidAhmad,1588493644964982784,2022-11-04 11:29:32,Place women right at the center of sustainable development https://t.co/lxPHxaB4zG,持続可能な開発の中心に女性を据える https://t.co/lxPHxaB4zG,3,0,1
miaamormottley,1587618933024104450,2022-11-02 01:33:44,5/5: And that is why we have settled on BARBADOS NATIONAL DAY-to celebrate 2 significant events in the life and jou… https://t.co/6I1z6DC44z,5/5: そしてそれが、私たちがバーバドスナショナルデーに決めた理由です。人生と人生における2つの重要な出来事を祝うために。https://t.co/6I1z6DC44z,57,8,1
miaamormottley,1587618930591469568,2022-11-02 01:33:44,4/5: concerned about that. But equally we have to celebrate the election of our 1st President. We expect that some… https://t.co/KfnE26XvgN,4/5：それについては懸念している。しかし、同様に私たちは第1代大統領の選出を祝わなければなりません。私たちは、いくつかのことを期待しています... https://t.co/KfnE26XvgN,26,4,1
miaamormottley,1587618928142045184,2022-11-02 01:33:43,3/5: to celebrate both the attainment of Independence and the attainment of becoming a Parliamentary Republic with… https://t.co/SUOtPiNGTn,3/5: 独立の達成と議会制共和国への達成の両方を祝うために... https://t.co/SUOtPiNGTn,23,3,1
miaamormottley,1587618925952602114,2022-11-02 01:33:43,2/5: would be celebrated without undermining the significance of Nov 30 1966. It is not either one or the other. Bo… https://t.co/oRoJef3C2Y,2/5：1966年11月30日の意義を損なうことなく、祝われることになるだろう。それはどちらか一方ではありません。ボ... https://t.co/oRoJef3C2Y,26,5,1
miaamormottley,1587618923968696320,2022-11-02 01:33:42,1/5: I have seen and heard the comments this evening on social media. Irrespective of how the Government has felt a… https://t.co/tFCmTfPdiJ,1/5：今晩、SNSでコメントを見聞きしました。政府がどう感じたかはともかく、... https://t.co/tFCmTfPdiJ,82,18,1
alexanderdecroo,1588533189508993025,2022-11-04 14:06:40,First good exchange with @GiorgiaMeloni on our shared priorities in Europe. Determined to take further measures to… https://t.co/4R81J5X0Br,ジョルジア・メローニ氏（@GiorgiaMeloni）と、欧州における共通の優先事項について初めて良いやりとりができた。さらなる対策を講じることを決意した... https://t.co/4R81J5X0Br,68,12,1
JohnBricenoBZE,1588651526452436992,2022-11-04 21:56:54,"A few days ago, this school, its IT programme and maverick young robotics  programmers won us global recognition. T… https://t.co/6B9Bxg1mqT",数日前、この学校とそのITプログラム、そして破天荒な若いロボットプログラマーたちが、私たちの世界的な評価を獲得しました。T... https://t.co/6B9Bxg1mqT,6,3,1
JohnBricenoBZE,1587881973967912960,2022-11-02 18:58:58,"My fellow Belizeans 🇧🇿 

We are in the middle of the impact of Hurricane Lisa.  

Please take heed that I have decl… https://t.co/QSI8v7zjfa","ベリーズの仲間たち🇧🇿。

私たちはハリケーン・リサの影響の真っ只中にいます。  

私は宣言したことを心に留めておいてください... https://t.co/QSI8v7zjfa",40,14,1
JohnBricenoBZE,1587635678195621890,2022-11-02 02:40:17,"My fellow Belizeans 🇧🇿 

Please click and listen. Let us take heed. Let us look out for each other. Let us move ear… https://t.co/Z5YHXCBybm","ベリーズの仲間たち🇧🇿。

クリックしてお聞きください。私たちは耳を傾けてみましょう。私たちはお互いのために外を見ましょう。私たちは耳を動かしましょう... https://t.co/Z5YHXCBybm",41,8,1
DeportesLSA,1587789338745753600,2022-11-02 12:50:52,RT @DiosNosDiceHoy: DIOS TE AMA.,RT @DiosNosDiceHoy:DIOS TE AMA.,0,239,1
DeportesLSA,1587789301877702657,2022-11-02 12:50:43,"RT @oracion_milagro: ORACIÓN PARA EL MIÉRCOLES 2 DE NOVIEMBRE: Haz esta oración para dar gracias a DIOS por este miércoles que empieza, píd…",RT @prayer_milagro: 11月2日（水）の祈り：始まるこの水曜日のために神に感謝するためにこの祈りを祈り、お願いします...,0,451,1
DeportesLSA,1587789288854495233,2022-11-02 12:50:40,"RT @PGuillermoSerra: Vive esto y serás feliz y harás felices a los demás: 
Eres totalmente reemplazable en tu trabajo. Sin embargo no eres…","RT @PGuillermoSerra: これを生きれば、あなたは幸せになり、他の人を幸せにすることができます。
あなたは、仕事において完全に代替可能な存在です。しかし、あなたは...",0,579,1
DeportesLSA,1587788890718568448,2022-11-02 12:49:05,RT @oracion_milagro: Oración para el miércoles 2 de noviembre de 2022: https://t.co/3ZkHpADoa6,RT @prayer_milagro: 2022年11月2日（水）の祈り： https://t.co/3ZkHpADoa6,0,522,1
DeportesLSA,1587788844069437444,2022-11-02 12:48:54,RT @PGuillermoSerra: Dios no es lento o rápido. Dios es perfecto.,RT @PGuillermoSerra: 神は遅いものでも速いものでもない。神様は完璧です。,0,527,1
OfficialMasisi,1588488949299023872,2022-11-04 11:10:52,The theme of the Revised Artificial Insemination (AI) programme is : Advanced Reproductive Technologies; A definiti… https://t.co/6IM7sbmpNM,改正人工授精（AI）プログラムのテーマは、:高度生殖技術; 定義... https://t.co/6IM7sbmpNM,2,0,1
OfficialMasisi,1588488915568173057,2022-11-04 11:10:44,Se se tla kgontsha Batswana botlhe go isa dikgomo tsa bone. Maikaelelo a rona ke gore re ikemele le go itshetsa re… https://t.co/J0nBNFon2Q,Se se tla kgontsha Batswana botlhe go isa dikgomo tsa bone.Maikaelelo a rona ke gore re ikemele le go itshetsa re... https://t.co/J0nBNFon2Q,4,1,1
OfficialMasisi,1588488886417858560,2022-11-04 11:10:37,"Batswana betsho, puso ya rona e bone go le maleba go oketsa botsalo le boleng jwa dikgomo tsa rona ka go gwedisa ka… https://t.co/1x1gynWzbP","Batswana betsho, puso ya rona e bone go le maleba go oketsa botsalo le boleng jwa dikgomo tsa rona ka go gwedisa ka... https://t.co/1x1gynWzbP",18,1,1
OfficialMasisi,1588249026922655744,2022-11-03 19:17:30,Se se tla kgontsha Batswana botlhe go isa dikgomo tsa bone. Maikaelelo a rona ke gore re ikemele le go itshetsa re… https://t.co/o98xmEotcR,Se se tla kgontsha Batswana botlhe go isa dikgomo tsa bone.Maikaelelo a rona ke gore re ikemele le go itshetsa re... https://t.co/o98xmEotcR,8,1,1
OfficialMasisi,1588249018433355776,2022-11-03 19:17:28,Dumelang Batswana. Puso ya rona e bone go le maleba go oketsa botsalo le boleng jwa dikgomo tsa rona ka go gwedisa… https://t.co/J6uL0BmyWM,ドゥメラン・バツワナPuso ya rona e bone go le maleba go oketsa botsalo le boleng jwa dikgomo tsa rona ka go gwedisa... https://t.co/J6uL0BmyWM。,10,1,1
LulaOficial,1588664854633938944,2022-11-04 22:49:51,🇧🇷 ❤️ 🦑 https://t.co/DKh8dqHAys,🇧 ❤️  https://t.co/DKh8dqHAys,65638,4781,1
LulaOficial,1588635979753000960,2022-11-04 20:55:07,Vencemos as eleições. E é importante continuar combatendo fake news. O @LulaPelaVerdade segue atuando contra as men… https://t.co/asyQmPfU0j,私たちは選挙に勝ったのです。そして、フェイクニュースと戦い続けることが重要です。LulaPelaVerdadeは反対行動をとり続けている... https://t.co/asyQmPfU0j,30030,4846,1
LulaOficial,1588591924935479296,2022-11-04 18:00:04,"Favelas são espaços de produção de cultura e conhecimento, onde moram milhões de trabalhadores. Não podem ser sinôn… https://t.co/Z9feX4u5Wl",ファベーラは文化と知識の生産空間であり、そこには何百万人もの労働者が住んでいる。同義語にはなり得ない... https://t.co/Z9feX4u5Wl,32602,4075,1
LulaOficial,1588555407576174593,2022-11-04 15:34:57,O Brasil da esperança é o Brasil do futuro! Participe dos grupos de WhatsApp para saber tudo sobre a transição de g… https://t.co/y22loJtG5y,希望のブラジルは未来のブラジルだ!WhatsApp グループに参加して、gの変遷についてすべてを知ってください... https://t.co/y22loJtG5y,25782,2830,1
LulaOficial,1588490088853704704,2022-11-04 11:15:24,Bom dia. Vamos trabalhando na transição para um futuro melhor para todos. https://t.co/lzJvkUboSB,おはようございます。すべての人にとってより良い未来への移行に取り組みましょう。https://t.co/lzJvkUboSB。,126020,8527,1
JustinTrudeau,1588644107953795072,2022-11-04 21:27:25,"RT @cafreeland: Today, nearly 11 million households will begin receiving a doubled GST credit!

That means hundreds of dollars will be arri…","RT @cafreeland:今日から1100万世帯近くが、2倍のGSTクレジットを受け始めることになる！？

つまり、何百ドルものお金が...",0,73,1
JustinTrudeau,1588644099384807424,2022-11-04 21:27:23,"RT @cafreeland: Aujourd'hui, près de 11 millions de ménages commenceront à recevoir un crédit pour la TPS doublé !

Des centaines de dollar…","RT @cafreeland: 今日から1100万近い世帯が、2倍のGSTクレジットを受け取るようになるのです。

何百ドルも...",0,15,1
JustinTrudeau,1588628227735826432,2022-11-04 20:24:19,"On top of that, we’re also cutting child care fees in half. We’re increasing housing supply. And we’ve permanently… https://t.co/vzSlIQGb90",その上、保育料も半額にします。住宅供給も増やしています。そして、私たちは永久に... https://t.co/vzSlIQGb90,178,27,1
JustinTrudeau,1588628225529638915,2022-11-04 20:24:18,"We’re also providing low-paid workers with advance payments of the Canada Workers Benefit, so they can get money in… https://t.co/FZJyA3OgKC",また、低賃金労働者には、カナダ労働者給付金の前払いを行っており、お金を... https://t.co/FZJyA3OgKC,235,33,1
JustinTrudeau,1588628223507763201,2022-11-04 20:24:18,We’re working to lower credit card fees. We’re helping parents take their kids to the dentist. We’re permanently el… https://t.co/V3CgOtypTI,クレジットカードの手数料引き下げに取り組んでいます。私たちは、親が子供を歯医者に連れて行くのを助けています。私たちは永久に... https://t.co/V3CgOtypTI,194,30,1
saleh_kebzabo,1588153746114191361,2022-11-03 12:58:54,"4. La mise à jour du découpage territorial ;
5. l’organisation du référendum constitutionnel ;
6. la mise à jour de… https://t.co/1NiTNIlhQh","4.領土分割の更新のこと。
5.憲法上の国民投票の組織化。
6.アップデートの... https://t.co/1NiTNIlhQh",13,4,1
saleh_kebzabo,1588153743991865346,2022-11-03 12:58:53,"1. La rédaction du projet de la nouvelle Constitution ;
2. La mise en place d’un nouveau cadre de concertation des… https://t.co/u8buBeA3BA","1.新憲法の起草;
2.の協議のための新たな枠組みを確立... https://t.co/u8buBeA3BA",17,4,1
saleh_kebzabo,1588153741038993412,2022-11-03 12:58:52,Le retour à l’ordre constitutionnel est la condition première pour restaurer la paix dans le cœur des Tchadiens et… https://t.co/F86nujfCu6,憲法秩序の復活は、チャド人の心に平和を取り戻すための第一条件であり、... https://t.co/F86nujfCu6,132,20,1
gabrielboric,1588638449988669440,2022-11-04 21:04:56,Avanzamos en más seguridad! https://t.co/hg0gVnC392,より安全性を高める方向へ！ https://t.co/hg0gVnC392,907,235,1
gabrielboric,1588638301904580608,2022-11-04 21:04:21,"RT @trabejita: Hola Sergio. Un trabajador que gane $500.000, con el 6% extra que aporte su empleador, podrá recibir una mejor pensión en pr…",RT @trabejita: セルジオさん、こんにちは。50万ドル稼ぐ労働者が、雇用主から6％余分に拠出されることで、より良い年金を受け取ることができるようになる。,0,153,1
gabrielboric,1588586215158448129,2022-11-04 17:37:22,RT @NYC_prensa: 🔴 IQUIQUE: Operativo de la @PDI_CHILE incautó 1.377 kilos de droga avaluada en más de $6.800 millones. 11 detenidos quedaro…,RT @NYC_prensa: 🔴IQUIQUE: Operativo de la @PDI_CHILE は、68億円以上に相当する1377キロの麻薬を押収しました。11人の被拘束者が逮捕された...,0,469,1
gabrielboric,1588585034898100224,2022-11-04 17:32:41,RT @ximenaguilera: 🏥 Estamos muy orgullosos de anunciar el envío del proyecto de ley para la articulación entre el Hospital Clínico @uchile…,RT @ximenaguilera: 🏥 病院クリニコ @uchile の連結に関する法案の提出を発表できることを大変光栄に思います...,0,188,1
gabrielboric,1588578994689298432,2022-11-04 17:08:41,"RT @GobiernodeChile: Mucha información está circulando sobre la Reforma del Sistema Mixto por #MejoresPensiones 😮 
¿Mis ahorros seguirán si…","RT @GobiernodeChile: #BetterPensions 😮のための混合型システム改革について、多くの情報が流れています。
私の貯蓄は、もし...続くのでしょうか？",0,839,1
suelinwong,1587832830389886982,2022-11-02 15:43:41,RT @UselessTree: Kudos to @suelinwong and her team. The entire series is excellent and provides critical background for the Xi moment we ar…,RT @UselessTree:このシリーズは素晴らしい。このシリーズ全体が素晴らしく、私たちが直面しているXiの瞬間の重要な背景を提供してくれています...,0,3,1
suelinwong,1587832806440329216,2022-11-02 15:43:36,RT @LaurelMillerICG: This is a terrific podcast series 👇🏻,RT @LaurelMillerICG: これは凄いポッドキャストシリーズですね👇🏻。,0,1,1
suelinwong,1587832244835872768,2022-11-02 15:41:22,"RT @polijunkie_aus: the ending of the series is touching, especially for people of my generation: Shanghai residents gathering after lockdo…",RT @polijunkie_aus: シリーズのエンディングは、特に私の世代の人間には感動的です。上海市民がロックンロールの後に集まっている。,0,1,1
suelinwong,1587832004992704512,2022-11-02 15:40:25,"@rocktsao So pleased to hear you like the podcast! Re how to pronounce his name, here’s a clip of a Chinese state b… https://t.co/L0tdwbblt5",@rocktsao ポッドキャストを気に入っていただけて、とても嬉しいです。彼の名前の発音の仕方について、中国の国営放送の映像です... https://t.co/L0tdwbblt5,0,0,1
suelinwong,1587830260191608833,2022-11-02 15:33:29,"RT @sowmiyashok: Truly smashing podcast and I specifically loved Ep5 coz I understood 70% of the Mandarin!

Really fantastic work, @suelinw…","RT @sowmiyashok: 本当に素晴らしいポッドキャストで、特にエピ5が大好きです！なぜなら、中国語の70％を理解できたからです。

本当に素晴らしい仕事だ、@suelinw...",0,1,1
petrogustavo,1588612485694644224,2022-11-04 19:21:46,"Reunido en Hato Grande, Cajicá, con más de 100 funcionarios del más alto nivel en la primera Asamblea General de Go… https://t.co/vEvNpVzr71",カヒカ州ハトグランデに集まった100人以上のトップレベルの関係者が、第1回Go総会に... https://t.co/vEvNpVzr71,3942,1198,1
petrogustavo,1588608565870493696,2022-11-04 19:06:11,"Festejamos y premiamos a nuestras campeonas mundiales de fútbol de salón.

Mujeres poderosas. https://t.co/XzKC5VDsgS","インドアサッカーで世界チャンピオンになったことを祝い、表彰しました。

パワフルな女性たち https://t.co/XzKC5VDsgS",4454,979,1
petrogustavo,1588603363121586176,2022-11-04 18:45:31,Campeonas mundiales: Selección Colombia Femenina de Fútbol de Salón. https://t.co/iDbm0HETHg,世界チャンピオン：コロンビア女子インドアサッカーチーム https://t.co/iDbm0HETHg,9281,1815,1
petrogustavo,1588528773242421248,2022-11-04 13:49:07,https://t.co/ARYeDi2OfC,https://t.co/ARYeDi2OfC,8658,2227,1
petrogustavo,1588526515884785664,2022-11-04 13:40:09,La reforma tributaria no tiene nada que ver con la ropa importada. Es bueno leerla. https://t.co/janBnjhlZ1,税制改正は輸入服とは関係ない。読んでよかった。https://t.co/janBnjhlZ1,34737,6507,1
ChristelSassou,1588209185875009537,2022-11-03 16:39:12,"J'ai reçu, ce 03 novembre, SEM Serhan A. Yigit, ambassadeur de la République de Turquie au Congo (@Tr_Brazzaville),… https://t.co/pRhCbon60p",11月3日、私は駐コンゴ・トルコ共和国大使Serhan A. Yigit閣下（@Tr_Brazzaville）をお迎えし... https://t.co/pRhCbon60p,53,6,1
DiazCanelB,1588663482391887872,2022-11-04 22:44:24,Agradezco al Consejo Mundial de Iglesias (@Oikoumene) por su carta de respaldo a la resolución contra el bloqueo re… https://t.co/swx7QKn4nT,世界教会協議会（@Oikoumene）の封鎖反対決議への賛同の書簡に感謝します... https://t.co/swx7QKn4nT,375,318,1
DiazCanelB,1588490193463832576,2022-11-04 11:15:49,"Gracias hermano Maduro. Juntos en la lucha por un mundo mejor, sin bloqueos, sin muros, sin medidas coercitivas, si… https://t.co/AFunPaDQOu",マドゥロ兄さんありがとうございます。より良い世界のために共に闘いましょう！ 封鎖も壁も強制的な手段もなく、そう... https://t.co/AFunPaDQOu,2711,2327,1
DiazCanelB,1588489503265935360,2022-11-04 11:13:04,Gracias hermano Evo. Es también una victoria de Nuestra América #MejorSinBloqueo https://t.co/LD1QUmQrOg,エボ兄さんありがとうございます。Our Americaの勝利でもある #MejorSinBlockade https://t.co/LD1QUmQrOg,1557,1257,1
DiazCanelB,1588213428589658112,2022-11-03 16:56:03,"Desde Mantua, en lo más profundo de #Cuba, pregunto: ¿Qué harán los demócratas con esta democrática votación de la… https://t.co/VAVLVuUM3L",キューバの奥地、マントゥアから問う：民主主義者はこの民主的な投票をどうするのか... https://t.co/VAVLVuUM3L,3125,2401,1
DiazCanelB,1588203385412542464,2022-11-03 16:16:09,"Camino a Guane, en el extremo occidental del país, escuché al Canciller @BrunoRguezP. Él habló alto y claro ante el… https://t.co/6GO9CSIl3j",最西部のグアネに向かう途中、外務大臣 @BrunoRguezP の話を聞いた。 彼は、はっきりとした声で... https://t.co/6GO9CSIl3j,6162,5268,1
